year,real_gdp
1960,65652787806.0
1961,68176962954.0
1962,72388888581.0
1963,77726634753.0
1964,83897825365.0
1965,89034719820.0
1966,92986424439.0
1967,99678213921.0
1968,103818000000.0
1969,108714000000.0
1970,114420000000.0
1971,119316000000.0
1972,121291000000.0
1973,126836000000.0
1974,134587000000.0
1975,136869000000.0
1976,139948000000.0
1977,139817000000.0
1978,144032000000.0
1979,149491000000.0
1980,159388000000.0
1981,167933000000.0
1982,167289000000.0
1983,164200000000.0
1984,172573000000.0
1985,170482000000.0
1986,170512000000.0
1987,174094000000.0
1988,181406000000.0
1989,185751000000.0
1990,185160000000.0
1991,183275000000.0
1992,179358000000.0
1993,181571000000.0
1994,187381000000.0
1995,193190000000.0
1996,201497000000.0
1997,206736000000.0
1998,207770000000.0
1999,212756000000.0
2000,221692000000.0
2001,227678000000.0
2002,236103000000.0
2003,243065000000.0
2004,254136000000.0
2005,267547000000.0
2006,282540000000.0
2007,297685000000.0
2008,307184000000.0
2009,302460000000.0
2010,311654000000.0
2011,321529000000.0
2012,329233000000.0
2013,337416000000.0
2014,342187000000.0
2015,346710000000.0
2016,349014000000.0
2017,353055000000.0
2018,358552000000.0
2019,359484000000.0
2020,337307000000.0
2021,354021000000.0
2022,360788000000.0
2023,363308000000.0
2024,372413578004.87787
2025,381747776197.38855
2026,391316625418.87305
2027,401126512690.4889
2028,411184311417.489
2029,421497555589.8244
2030,432074623209.02167
2031,442924815610.50146
2032,454058126263.30505
2033,465484534455.22687
2034,477213020675.2212
2035,489250948928.4068
2036,501604303468.74713
2037,514278517678.2012
2038,527279257782.85956
2039,540612828105.6438
2040,554286250455.8857
2041,568307187483.1501
2042,582683830075.2914
2043,597424800379.8329
2044,612539647829.4427
2045,628036900919.5277
2046,643926234512.7919
2047,660217568245.9656
2048,676921072722.5886
2049,694047175862.4702
2050,711606569411.7908
2051,729610215617.9092
2052,748069354073.0424
2053,766995508731.0905
2054,786400495101.987
2055,806296427628.0674
2056,826695727247.0576
2057,847611129146.4082
2058,869055690713.8124
2059,891042799688.872
2060,913586182521.0005
2061,936699912938.7819
2062,960398420736.1332
2063,984696500780.7574
2064,1009609322250.5107
2065,1035152438103.4487
2066,1061341794787.4661
2067,1088193742195.5891
2068,1115725043873.1377
2069,1143952887483.1282
